time,open,high,low,close,tick_volume,spread,real_volume
2025-11-30 20:00:00,4219.988,4225.308,4205.841,4221.933,15689,160,0
2025-12-01 00:00:00,4221.906,4256.447,4218.245,4239.35,84380,160,0
2025-12-01 04:00:00,4239.307,4246.989,4215.434,4245.32,60148,160,0
2025-12-01 08:00:00,4245.286,4262.278,4238.44,4254.634,50291,160,0
2025-12-01 12:00:00,4254.639,4264.532,4219.589,4232.518,104662,160,0
2025-12-01 16:00:00,4232.589,4244.713,4223.127,4236.851,93161,160,0
2025-12-01 20:00:00,4236.875,4241.542,4224.423,4227.7,34993,160,0
2025-12-02 00:00:00,4227.704,4229.766,4191.183,4216.858,81904,160,0
2025-12-02 04:00:00,4216.813,4226.316,4203.258,4213.307,53999,160,0
2025-12-02 08:00:00,4213.386,4217.2,4180.945,4205.288,60395,160,0
2025-12-02 12:00:00,4205.254,4230.859,4163.566,4169.426,116134,160,0
2025-12-02 16:00:00,4169.474,4200.693,4166.874,4196.52,81529,160,0
2025-12-02 20:00:00,4196.557,4216.236,4194.862,4212.876,33581,160,0
2025-12-03 00:00:00,4212.913,4228.936,4204.339,4221.244,62125,160,0
2025-12-03 04:00:00,4221.2,4225.428,4199.985,4206.453,59750,160,0
2025-12-03 08:00:00,4206.5,4210.335,4194.48,4208.564,50614,160,0
2025-12-03 12:00:00,4208.537,4241.579,4205.111,4216.342,110341,160,0
2025-12-03 16:00:00,4216.307,4224.964,4195.225,4207.944,78891,160,0
2025-12-03 20:00:00,4207.83,4212.701,4202.395,4207.165,25840,160,0
2025-12-04 00:00:00,4207.102,4216.817,4187.241,4195.851,60822,160,0
2025-12-04 04:00:00,4195.765,4199.101,4174.868,4193.744,62714,160,0
2025-12-04 08:00:00,4193.713,4206.522,4183.686,4198.652,51820,160,0
2025-12-04 12:00:00,4198.625,4213.586,4185.475,4207.52,97226,160,0
2025-12-04 16:00:00,4207.493,4219.486,4199.599,4208.939,59470,160,0
2025-12-04 20:00:00,4208.921,4210.381,4203.865,4206.079,21034,160,0
2025-12-05 00:00:00,4206.077,4210.979,4194.824,4209.557,48206,160,0
2025-12-05 04:00:00,4209.544,4230.701,4207.863,4224.363,44346,160,0
2025-12-05 08:00:00,4224.409,4227.553,4215.909,4223.693,33243,160,0
2025-12-05 12:00:00,4223.744,4259.24,4221.524,4243.48,87110,160,0
2025-12-05 16:00:00,4243.536,4245.707,4198.651,4207.649,105630,160,0
2025-12-05 20:00:00,4207.69,4207.844,4191.863,4198.522,37331,160,0
2025-12-07 20:00:00,4202.426,4208.458,4189.804,4201.389,2189,160,0
2025-12-08 00:00:00,4201.433,4213.415,4197.576,4210.017,50848,160,0
2025-12-08 04:00:00,4210.051,4218.963,4204.603,4206.864,34367,160,0
2025-12-08 08:00:00,4206.863,4216.531,4199.622,4208.383,38058,160,0
2025-12-08 12:00:00,4208.438,4215.564,4176.137,4182.933,80884,160,0
2025-12-08 16:00:00,4182.891,4197.891,4177.118,4187.057,46482,160,0
2025-12-08 20:00:00,4187.017,4195.497,4184.898,4194.735,16111,160,0
2025-12-09 00:00:00,4194.74,4198.844,4186.012,4194.538,38469,160,0
2025-12-09 04:00:00,4194.523,4195.686,4170.097,4182.368,46970,160,0
2025-12-09 08:00:00,4182.332,4213.14,4182.332,4202.976,49713,160,0
2025-12-09 12:00:00,4203.024,4216.496,4189.416,4212.562,92352,160,0
2025-12-09 16:00:00,4212.522,4221.526,4201.215,4212.577,68992,160,0
2025-12-09 20:00:00,4212.54,4216.058,4207.159,4210.87,37734,160,0
2025-12-10 00:00:00,4210.815,4218.778,4203.765,4206.3,49317,160,0
2025-12-10 04:00:00,4206.378,4214.406,4201.77,4203.392,38207,160,0
2025-12-10 08:00:00,4203.357,4206.613,4187.729,4197.216,43193,160,0
2025-12-10 12:00:00,4197.311,4207.115,4188.957,4193.62,72399,160,0
2025-12-10 16:00:00,4193.715,4219.896,4181.686,4216.405,103769,160,0
2025-12-10 20:00:00,4216.372,4238.706,4211.013,4232.419,61737,160,0
2025-12-11 00:00:00,4232.502,4247.762,4209.344,4216.788,70826,160,0
2025-12-11 04:00:00,4216.738,4218.689,4204.316,4216.079,50956,160,0
2025-12-11 08:00:00,4216.053,4225.931,4209.648,4211.174,63769,160,0
2025-12-11 12:00:00,4211.197,4261.54,4205.192,4256.005,173050,160,0
2025-12-11 16:00:00,4255.933,4285.959,4250.067,4273.621,156904,160,0
2025-12-11 20:00:00,4273.598,4283.66,4264.227,4276.523,66403,160,0
2025-12-12 00:00:00,4276.471,4280.202,4264.738,4270.609,54960,160,0
2025-12-12 04:00:00,4270.591,4290.557,4266.085,4287.155,36783,160,0
2025-12-12 08:00:00,4287.11,4339.355,4286.981,4336.432,62998,160,0
2025-12-12 12:00:00,4336.503,4353.57,4283.082,4290.494,165912,160,0
2025-12-12 16:00:00,4290.446,4303.627,4256.958,4296.552,159497,160,0
2025-12-12 20:00:00,4296.527,4304.299,4288.403,4300.983,25818,160,0
2025-12-14 20:00:00,4300.525,4308.411,4299.862,4302.391,9925,160,0
2025-12-15 00:00:00,4302.431,4329.634,4300.055,4327.075,51721,160,0
2025-12-15 04:00:00,4327.147,4347.599,4323.149,4339.349,45052,160,0
2025-12-15 08:00:00,4339.305,4350.352,4335.333,4342.747,37358,160,0
2025-12-15 12:00:00,4342.845,4348.46,4311.467,4318.307,110420,160,0
2025-12-15 16:00:00,4318.339,4318.941,4285.18,4314.227,88677,160,0
2025-12-15 20:00:00,4314.176,4314.501,4299.462,4304.15,26480,160,0
2025-12-16 00:00:00,4304.132,4317.924,4280.571,4290.839,78228,160,0
2025-12-16 04:00:00,4290.867,4292.283,4271.599,4287.643,54165,160,0
2025-12-16 08:00:00,4287.577,4289.537,4273.752,4278.382,44449,160,0
2025-12-16 12:00:00,4278.422,4335.137,4276.705,4319.805,110406,160,0
2025-12-16 16:00:00,4319.758,4323.172,4291.064,4310.723,83599,160,0
2025-12-16 20:00:00,4310.676,4314.383,4300.693,4307.86,23233,160,0
2025-12-17 00:00:00,4307.905,4327.864,4307.375,4323.639,61431,160,0
2025-12-17 04:00:00,4323.67,4342.53,4315.555,4317.827,57766,160,0
2025-12-17 08:00:00,4317.798,4323.293,4306.453,4316.409,42763,160,0
2025-12-17 12:00:00,4316.457,4349.297,4314.921,4330.188,109049,160,0
2025-12-17 16:00:00,4330.239,4346.439,4320.312,4336.967,94162,160,0
2025-12-17 20:00:00,4336.935,4346.328,4335.192,4339.201,24177,160,0
2025-12-18 00:00:00,4339.15,4342.938,4324.2,4333.093,58379,160,0
2025-12-18 04:00:00,4333.196,4337.74,4328.576,4331.418,38763,160,0
2025-12-18 08:00:00,4331.379,4332.592,4320.584,4325.567,36614,160,0
2025-12-18 12:00:00,4325.572,4343.102,4308.654,4338.221,119869,160,0
2025-12-18 16:00:00,4338.265,4374.645,4321.657,4324.976,134215,160,0
2025-12-18 20:00:00,4324.992,4338.159,4324.48,4335.144,27266,160,0
2025-12-19 00:00:00,4335.17,4335.841,4309.221,4318.024,58109,160,0
2025-12-19 04:00:00,4318.031,4329.539,4316.9,4322.756,43771,160,0
