time,open,high,low,close,tick_volume,spread,real_volume
2025-11-30 22:00:00,1.32261,1.32261,1.32145,1.32257,459,141,0
2025-11-30 22:30:00,1.3225799999999999,1.32279,1.322,1.32273,360,93,0
2025-11-30 23:00:00,1.32307,1.32478,1.32295,1.32362,696,17,0
2025-11-30 23:30:00,1.32361,1.32391,1.32317,1.32388,838,10,0
2025-12-01 00:00:00,1.32388,1.32437,1.32364,1.32395,1324,10,0
2025-12-01 00:30:00,1.32392,1.32426,1.32356,1.32364,1169,10,0
2025-12-01 01:00:00,1.32363,1.32465,1.32305,1.32458,1990,10,0
2025-12-01 01:30:00,1.32459,1.32467,1.32343,1.32374,1488,10,0
2025-12-01 02:00:00,1.32373,1.32398,1.32253,1.32285,1208,10,0
2025-12-01 02:30:00,1.32286,1.32315,1.32243,1.32271,1068,10,0
2025-12-01 03:00:00,1.32272,1.32282,1.32216,1.32277,831,10,0
2025-12-01 03:30:00,1.32277,1.32307,1.32251,1.32304,691,10,0
2025-12-01 04:00:00,1.32306,1.3231,1.32256,1.32305,671,10,0
2025-12-01 04:30:00,1.32306,1.32335,1.3226499999999999,1.3226499999999999,697,10,0
2025-12-01 05:00:00,1.32264,1.3231,1.32245,1.32298,858,10,0
2025-12-01 05:30:00,1.32298,1.32305,1.32182,1.32208,1029,10,0
2025-12-01 06:00:00,1.32207,1.32223,1.32132,1.32155,1242,10,0
2025-12-01 06:30:00,1.32151,1.32177,1.32102,1.32156,1040,10,0
2025-12-01 07:00:00,1.32158,1.32286,1.32124,1.32284,1345,10,0
2025-12-01 07:30:00,1.32284,1.32363,1.32177,1.32195,1665,10,0
2025-12-01 08:00:00,1.32199,1.32291,1.32119,1.32175,2421,10,0
2025-12-01 08:30:00,1.32175,1.32209,1.32051,1.3210600000000001,2221,10,0
2025-12-01 09:00:00,1.32108,1.32271,1.32105,1.3226499999999999,1988,10,0
2025-12-01 09:30:00,1.32264,1.3235000000000001,1.3223500000000001,1.32324,1753,10,0
2025-12-01 10:00:00,1.3232300000000001,1.32333,1.32217,1.32276,1610,10,0
