time,open,high,low,close,tick_volume,spread,real_volume
2025-11-30 22:00:00,156.026,156.127,155.986,156.107,285,38,0
2025-11-30 22:30:00,156.107,156.114,156.028,156.104,399,26,0
2025-11-30 23:00:00,156.114,156.127,156.009,156.036,885,10,0
2025-11-30 23:30:00,156.036,156.144,155.871,155.906,1003,10,0
2025-12-01 00:00:00,155.906,155.908,155.731,155.735,2403,10,0
2025-12-01 00:30:00,155.736,155.856,155.671,155.803,1908,10,0
2025-12-01 01:00:00,155.802,155.989,155.481,155.604,5602,10,0
2025-12-01 01:30:00,155.603,155.823,155.531,155.637,2160,10,0
2025-12-01 02:00:00,155.639,155.651,155.522,155.589,1691,10,0
2025-12-01 02:30:00,155.589,155.619,155.424,155.495,1486,10,0
2025-12-01 03:00:00,155.495,155.594,155.442,155.497,981,10,0
2025-12-01 03:30:00,155.497,155.508,155.408,155.458,746,10,0
2025-12-01 04:00:00,155.458,155.494,155.425,155.435,671,10,0
2025-12-01 04:30:00,155.434,155.6,155.39,155.545,972,10,0
2025-12-01 05:00:00,155.549,155.582,155.405,155.474,1345,10,0
2025-12-01 05:30:00,155.472,155.62,155.439,155.59,1195,10,0
2025-12-01 06:00:00,155.592,155.692,155.592,155.64,1156,10,0
2025-12-01 06:30:00,155.64,155.664,155.554,155.562,1179,10,0
2025-12-01 07:00:00,155.56,155.623,155.393,155.402,1258,10,0
2025-12-01 07:30:00,155.402,155.44,155.301,155.358,1576,10,0
2025-12-01 08:00:00,155.361,155.434,155.255,155.313,2109,10,0
2025-12-01 08:30:00,155.314,155.557,155.309,155.484,2004,10,0
2025-12-01 09:00:00,155.481,155.53,155.345,155.347,1668,10,0
2025-12-01 09:30:00,155.347,155.385,155.255,155.285,1592,10,0
2025-12-01 10:00:00,155.282,155.304,155.157,155.17,1257,10,0
2025-12-01 10:30:00,155.171,155.306,155.162,155.252,1300,10,0
2025-12-01 11:00:00,155.254,155.339,155.19,155.208,1263,10,0
2025-12-01 11:30:00,155.209,155.209,155.096,155.102,1257,10,0
2025-12-01 12:00:00,155.101,155.145,155.0,155.006,1373,10,0
2025-12-01 12:30:00,155.006,155.034,154.758,154.788,1889,10,0
2025-12-01 13:00:00,154.788,154.848,154.694,154.771,2094,10,0
2025-12-01 13:30:00,154.768,154.893,154.66,154.837,2170,10,0
2025-12-01 14:00:00,154.84,155.007,154.83,154.938,2041,10,0
2025-12-01 14:30:00,154.94,155.058,154.901,154.999,2601,10,0
2025-12-01 15:00:00,154.991,155.139,154.859,155.044,2342,10,0
2025-12-01 15:30:00,155.043,155.195,155.037,155.093,2048,10,0
2025-12-01 16:00:00,155.096,155.288,155.091,155.27,1914,10,0
2025-12-01 16:30:00,155.27,155.31,155.248,155.282,1191,10,0
2025-12-01 17:00:00,155.282,155.364,155.256,155.308,1077,10,0
2025-12-01 17:30:00,155.306,155.381,155.28,155.348,915,10,0
2025-12-01 18:00:00,155.346,155.45,155.338,155.44,832,10,0
2025-12-01 18:30:00,155.441,155.493,155.44,155.49,701,10,0
2025-12-01 19:00:00,155.489,155.519,155.477,155.488,631,10,0
2025-12-01 19:30:00,155.487,155.508,155.444,155.473,611,10,0
2025-12-01 20:00:00,155.476,155.499,155.44,155.499,536,10,0
2025-12-01 20:30:00,155.501,155.517,155.432,155.444,575,10,0
2025-12-01 21:00:00,155.439,155.466,155.43,155.449,415,10,0
2025-12-01 21:30:00,155.448,155.502,155.447,155.46,399,10,0
