time,open,high,low,close,tick_volume,spread,real_volume
2025-11-30 22:00:00,156.026,156.127,155.986,156.104,684,26,0
2025-11-30 23:00:00,156.114,156.144,155.871,155.906,1888,10,0
2025-12-01 00:00:00,155.906,155.908,155.671,155.803,4311,10,0
2025-12-01 01:00:00,155.802,155.989,155.481,155.637,7762,10,0
2025-12-01 02:00:00,155.639,155.651,155.424,155.495,3177,10,0
2025-12-01 03:00:00,155.495,155.594,155.408,155.458,1727,10,0
2025-12-01 04:00:00,155.458,155.6,155.39,155.545,1643,10,0
2025-12-01 05:00:00,155.549,155.62,155.405,155.59,2540,10,0
2025-12-01 06:00:00,155.592,155.692,155.554,155.562,2335,10,0
2025-12-01 07:00:00,155.56,155.623,155.301,155.358,2834,10,0
2025-12-01 08:00:00,155.361,155.557,155.255,155.484,4113,10,0
2025-12-01 09:00:00,155.481,155.53,155.255,155.285,3260,10,0
2025-12-01 10:00:00,155.282,155.306,155.157,155.252,2557,10,0
2025-12-01 11:00:00,155.254,155.339,155.096,155.102,2520,10,0
2025-12-01 12:00:00,155.101,155.145,154.758,154.788,3262,10,0
2025-12-01 13:00:00,154.788,154.893,154.66,154.837,4264,10,0
2025-12-01 14:00:00,154.84,155.058,154.83,154.999,4642,10,0
2025-12-01 15:00:00,154.991,155.195,154.859,155.093,4390,10,0
2025-12-01 16:00:00,155.096,155.31,155.091,155.282,3105,10,0
2025-12-01 17:00:00,155.282,155.381,155.256,155.348,1992,10,0
2025-12-01 18:00:00,155.346,155.493,155.338,155.49,1533,10,0
2025-12-01 19:00:00,155.489,155.519,155.444,155.473,1242,10,0
2025-12-01 20:00:00,155.476,155.517,155.432,155.444,1111,10,0
2025-12-01 21:00:00,155.439,155.502,155.43,155.46,814,10,0
2025-12-01 22:00:00,155.46,155.46,155.358,155.412,574,26,0
2025-12-01 23:00:00,155.425,155.564,155.42,155.557,853,10,0
2025-12-02 00:00:00,155.558,155.676,155.457,155.63,2823,10,0
2025-12-02 01:00:00,155.633,155.772,155.591,155.627,2265,10,0
2025-12-02 02:00:00,155.627,155.703,155.587,155.656,1245,10,0
2025-12-02 03:00:00,155.656,155.716,155.555,155.628,1556,10,0
2025-12-02 04:00:00,155.628,155.665,155.547,155.635,1249,10,0
2025-12-02 05:00:00,155.635,155.73,155.627,155.65,1380,10,0
2025-12-02 06:00:00,155.649,155.814,155.634,155.757,1881,10,0
2025-12-02 07:00:00,155.755,155.834,155.711,155.762,1925,10,0
2025-12-02 08:00:00,155.764,156.002,155.764,155.991,2527,10,0
2025-12-02 09:00:00,155.989,156.082,155.928,155.963,2506,10,0
2025-12-02 10:00:00,155.963,156.062,155.932,156.03,1840,10,0
2025-12-02 11:00:00,156.033,156.047,155.892,155.923,1644,10,0
2025-12-02 12:00:00,155.92,156.028,155.903,156.006,1969,10,0
2025-12-02 13:00:00,156.006,156.07,155.964,155.971,2407,10,0
2025-12-02 14:00:00,155.972,156.086,155.928,155.948,2905,10,0
2025-12-02 15:00:00,155.948,156.177,155.816,155.869,4042,10,0
2025-12-02 16:00:00,155.869,155.982,155.746,155.917,3345,10,0
2025-12-02 17:00:00,155.915,156.084,155.914,155.941,2333,10,0
2025-12-02 18:00:00,155.938,156.016,155.905,155.99,1779,10,0
2025-12-02 19:00:00,155.987,155.996,155.842,155.894,1657,10,0
2025-12-02 20:00:00,155.892,155.896,155.8,155.828,1542,10,0
2025-12-02 21:00:00,155.826,155.899,155.824,155.849,770,10,0
2025-12-02 22:00:00,155.857,155.861,155.713,155.842,431,26,0
2025-12-02 23:00:00,155.861,155.89,155.755,155.758,936,10,0
2025-12-03 00:00:00,155.758,155.808,155.656,155.774,2533,10,0
2025-12-03 01:00:00,155.773,155.789,155.604,155.656,2026,10,0
2025-12-03 02:00:00,155.656,155.801,155.647,155.706,1329,10,0
2025-12-03 03:00:00,155.706,155.726,155.623,155.653,1188,10,0
2025-12-03 04:00:00,155.653,155.751,155.648,155.658,1126,10,0
2025-12-03 05:00:00,155.658,155.703,155.624,155.688,1072,10,0
2025-12-03 06:00:00,155.688,155.689,155.507,155.603,1908,10,0
2025-12-03 07:00:00,155.604,155.706,155.51,155.68,2181,10,0
2025-12-03 08:00:00,155.681,155.753,155.659,155.674,2104,10,0
2025-12-03 09:00:00,155.673,155.679,155.525,155.618,2160,10,0
2025-12-03 10:00:00,155.619,155.64,155.498,155.526,1984,10,0
2025-12-03 11:00:00,155.526,155.526,155.406,155.413,1717,10,0
2025-12-03 12:00:00,155.411,155.429,155.357,155.414,1845,10,0
2025-12-03 13:00:00,155.413,155.524,155.22,155.483,3679,10,0
2025-12-03 14:00:00,155.486,155.518,155.275,155.365,4781,10,0
2025-12-03 15:00:00,155.361,155.597,155.206,155.215,5772,10,0
2025-12-03 16:00:00,155.216,155.244,155.006,155.166,3356,10,0
2025-12-03 17:00:00,155.163,155.209,155.083,155.125,2122,10,0
2025-12-03 18:00:00,155.125,155.176,155.07,155.121,1831,10,0
