time,open,high,low,close,tick_volume,spread,real_volume
2025-11-30 23:00:00,4219.988,4224.517,4205.841,4222.053,9537,160,0
2025-11-30 23:30:00,4222.081,4225.308,4219.872,4221.933,6152,160,0
2025-12-01 00:00:00,4221.906,4232.621,4218.245,4227.133,6661,160,0
2025-12-01 00:30:00,4227.158,4233.717,4226.204,4230.861,7753,160,0
2025-12-01 01:00:00,4230.837,4239.163,4219.735,4238.49,17275,160,0
2025-12-01 01:30:00,4238.518,4256.15,4234.702,4255.34,13023,160,0
2025-12-01 02:00:00,4255.314,4256.447,4240.698,4241.264,11379,160,0
2025-12-01 02:30:00,4241.271,4243.196,4234.28,4242.737,11836,160,0
2025-12-01 03:00:00,4242.688,4243.897,4232.526,4235.224,9942,160,0
2025-12-01 03:30:00,4235.196,4240.896,4234.892,4239.35,6511,160,0
2025-12-01 04:00:00,4239.307,4240.578,4236.342,4239.7,4532,160,0
2025-12-01 04:30:00,4239.728,4246.989,4239.256,4245.67,4905,160,0
2025-12-01 05:00:00,4245.694,4246.508,4215.434,4220.227,14368,160,0
2025-12-01 05:30:00,4220.179,4231.42,4217.73,4229.564,9658,160,0
2025-12-01 06:00:00,4229.592,4233.807,4226.22,4231.493,7124,160,0
2025-12-01 06:30:00,4231.518,4240.535,4229.881,4236.985,6815,160,0
2025-12-01 07:00:00,4237.022,4242.696,4231.86,4240.521,7097,160,0
2025-12-01 07:30:00,4240.571,4246.442,4238.14,4245.32,5649,160,0
2025-12-01 08:00:00,4245.286,4253.529,4244.731,4249.506,7537,160,0
2025-12-01 08:30:00,4249.55,4250.04,4238.44,4244.714,6692,160,0
2025-12-01 09:00:00,4244.746,4251.701,4244.746,4251.471,5529,160,0
2025-12-01 09:30:00,4251.497,4251.497,4243.677,4250.002,5677,160,0
2025-12-01 10:00:00,4250.006,4262.278,4249.122,4253.582,7397,160,0
2025-12-01 10:30:00,4253.554,4257.808,4251.3,4255.518,6455,160,0
2025-12-01 11:00:00,4255.585,4256.788,4248.325,4254.396,5514,160,0
2025-12-01 11:30:00,4254.37,4258.42,4251.838,4254.634,5490,160,0
2025-12-01 12:00:00,4254.639,4256.529,4247.463,4252.63,7158,160,0
2025-12-01 12:30:00,4252.691,4256.093,4244.276,4246.508,7868,160,0
2025-12-01 13:00:00,4246.482,4257.612,4245.498,4256.795,10809,160,0
2025-12-01 13:30:00,4256.715,4264.532,4247.161,4247.304,10579,160,0
2025-12-01 14:00:00,4247.33,4249.368,4238.56,4246.59,12464,160,0
2025-12-01 14:30:00,4246.635,4248.031,4219.675,4240.225,21640,160,0
2025-12-01 15:00:00,4240.185,4244.995,4219.589,4228.101,19209,160,0
2025-12-01 15:30:00,4228.14,4236.477,4221.816,4232.518,14935,160,0
2025-12-01 16:00:00,4232.589,4239.917,4227.066,4239.881,13765,160,0
2025-12-01 16:30:00,4239.907,4242.296,4224.958,4226.233,16952,160,0
2025-12-01 17:00:00,4226.259,4236.737,4223.127,4235.648,15104,160,0
2025-12-01 17:30:00,4235.603,4240.07,4229.96,4232.432,10280,160,0
2025-12-01 18:00:00,4232.474,4242.042,4232.474,4240.979,11104,160,0
2025-12-01 18:30:00,4241.009,4244.713,4236.208,4240.227,7394,160,0
2025-12-01 19:00:00,4240.259,4242.196,4236.052,4241.637,8051,160,0
2025-12-01 19:30:00,4241.597,4243.87,4229.171,4236.851,10511,160,0
2025-12-01 20:00:00,4236.875,4240.943,4235.112,4237.606,6493,160,0
2025-12-01 20:30:00,4237.67,4241.542,4234.443,4237.363,8336,160,0
2025-12-01 21:00:00,4237.325,4240.64,4235.328,4238.634,4067,160,0
2025-12-01 21:30:00,4238.64,4238.64,4230.304,4231.914,3429,160,0
2025-12-01 23:00:00,4231.662,4236.006,4229.033,4235.583,5842,160,0
2025-12-01 23:30:00,4235.58,4235.783,4224.423,4227.7,6826,160,0
2025-12-02 00:00:00,4227.704,4227.983,4221.405,4225.11,6546,160,0
